Designator,Mid X,Mid Y,Rotation,Layer
0.1U,205.0,-61.5375,90.0,top
1K_2,228.4125,-50.5,0.0,top
1K,210.0,-61.4125,90.0,top
33N_2,191.0,-80.0375,90.0,top
33N,191.0,-44.5,90.0,top
4.7K_2,214.0,-41.5,90.0,top
4.7K,214.0,-82.4125,270.0,top
50V,198.0,-61.7,270.0,top
J2,221.0,-60.94,0.0,top
J3,231.4,-60.99,0.0,top
LED_2,213.0,-61.5,90.0,top
LED,233.025,-50.5,180.0,top
MC1,202.32,-43.785,180.0,top
MC2,202.32,-79.285,180.0,top
MOTOR,186.0,-62.0,90.0,top
MOTOR_OUT_1,186.5,-36.0,0.0,top
MOTOR_OUT_2,186.5,-89.0,180.0,top
~FS_2,217.25,-89.75,180.0,top
~FS,217.75,-34.75,0.0,top
